trait_or_pair_id	input_schema	chr_col	bp_col	snp_col	effect_allele_col	other_allele_col	beta_or_z_col	p_col	n_col	genome_build	allele_qc	ldsc_snp_set	placo_n_snps_gwas1	placo_n_snps_gwas2	placo_n_snps_after_qc	cpassoc_n_snps_after_qc	mtag_n_snps	mtag_n_chr	fusion_usable_snp_count	fusion_missing_z_count	fusion_status
ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165772	1159272	1159272	6261626	22	6261626	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165773	1159275	1159275	6262129	22	6262129	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
ALLERGIC_RHINITIS_GCST90038664__RHEUMA_SEROPOS_WIDE	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1190714	1165769	1159269	1159269	6261620	22	0	0	not selected for FUSION candidate TWAS or no FUSION sumstats file in final TWAS input directory
NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165743	1161752	1161752	6752814	22	6752814	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165829	1161837	1161837	6753312	22	6753312	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165762	1161778	1161778	6753075	22	6753075	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__H7_ALLERGICCONJUNCTIVITIS	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165772	1161782	1161782	6753004	22	6753004	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__H8_EUSTSALP	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165755	1161762	1161762	6753010	22	6753010	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165772	1161782	1161782	6753004	22	6753004	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165759	1161768	1161768	6752904	22	6752904	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165678	1161696	1161696	6752296	22	6752296	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165806	1161815	1161815	6753395	22	6753395	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__J10_COPD	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165828	1161835	1161835	6753474	22	6753474	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__J10_PNEUMOBACT	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165766	1161768	1161768	6752962	22	0	0	not selected for FUSION candidate TWAS or no FUSION sumstats file in final TWAS input directory
NASAL_POLYPS_GCST90018883__J10_PNEUMONIA	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165772	1161782	1161782	6753004	22	0	0	not selected for FUSION candidate TWAS or no FUSION sumstats file in final TWAS input directory
NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165772	1161782	1161782	6753004	22	6753004	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__L12_ATOPIC	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165787	1161790	1161790	6753138	22	6753138	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165772	1161782	1161782	6753004	22	6753004	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__L12_PSORIASIS	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165769	1161775	1161775	6753012	22	6753012	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__M13_RHEUMA	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165773	1161781	1161781	6753177	22	6753177	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	harmonized GWAS summary statistics; MTAG/FUSION sumstats derived from pair-level cross-trait summary where available	CHR/chr; module-specific harmonized column	BP/pos; module-specific harmonized column	SNP/rsID	A1/effect allele	A2/other allele	BETA/SE where available; Z required for FUSION	P	N if available; module-specific	GRCh37/hg19 for GWAS and locus-coordinate analyses; FUSION TWAS handled by rsID/allele matching to GTEx v8 resources	overlap and allele harmonization performed within module; ambiguous/missing variants removed or handled by module-specific QC	HapMap3 no-MHC regression SNPs for LDSC	1192381	1165717	1161731	1161731	6752795	22	6752795	0	FUSION sumstats present; usable SNP count from actual normalized sumstats file
